PoU,GINI,GII,CRI,GPI
3.6,33.2,0.181,118.00,1.872
2.8,27.6,0.429,105.17,2.287
18.6,51.3,0.536,32.33,2.087
3.8,42.9,0.328,60.00,1.978
2.6,29.9,0.245,98.17,2.135
2.5,34.4,0.097,28.00,1.386
2.5,30.8,0.069,56.83,1.275
2.5,26.6,0.323,118.00,2.3
13,32.4,0.537,23.50,2.121
2.5,25.3,0.118,118.00,2.111
2.5,27.2,0.043,66.00,1.496
7.4,47.8,0.612,118.00,2.182
15.5,41.6,0.417,19.67,2.074
2.5,33,0.149,57.83,2.04
24.1,53.3,0.465,99.83,1.693
2.5,53.4,0.408,33.67,2.413
3,41.3,0.206,101.00,1.628
19.2,35.3,0.594,118.00,2.316
6.3,46.6,0.560,67.33,2.65
2.5,33.3,0.080,65.67,1.298
39.6,43.3,0.710,118.00,2.538
3.5,44.4,0.247,33.00,1.804
2.5,38.5,0.168,42.83,2.166
5.5,51.3,0.428,36.33,2.646
28,48.9,0.570,58.67,2.343
3.2,48.2,0.288,118.00,1.691
2.5,29.7,0.116,75.17,1.615
6.8,32.7,0.086,118.00,1.92
2.5,25,0.136,92.83,1.337
19.9,41.5,0.638,111.67,2.169
2.5,28.2,0.038,75.50,1.283
5.5,41.9,0.455,118.00,1.992
8.8,45.7,0.384,103.83,2.085
4.7,31.5,0.449,102.00,2.481
8.9,38.8,0.383,91.83,2.243
2.5,30.3,0.086,75.67,1.68
16.9,54.6,0.567,118.00,1.934
19.7,35,0.517,69.33,2.526
2.5,27.3,0.047,97.83,1.404
2.5,32.4,0.049,52.50,1.93
16.6,38,0.525,118.00,2.116
8.2,35.9,0.331,93.17,2.116
2.5,31.9,0.084,61.33,1.494
6.5,43.5,0.538,53.33,1.776
2.5,32.9,0.116,45.00,1.877
16.1,48.3,0.479,65.67,2.267
5.7,45.1,0.462,118.00,2.05
48.2,41.1,0.636,58.33,2.211
13.8,48.2,0.423,73.33,2.288
2.5,29.6,0.233,85.83,1.559
2.5,26.1,0.058,88.83,1.078
14,35.7,0.488,16.67,2.628
9,38.2,0.480,24.83,1.831
23.7,29.5,0.577,84.33,3.487
2.5,31.4,0.093,104.50,1.375
2.5,39,0.109,108.83,2.775
2.5,35.9,0.069,43.50,1.69
8.7,45.5,0.396,118.00,2.041
2.5,32.9,0.094,14.50,1.36
8.5,33.7,0.450,118.00,1.958
2.5,27.8,0.190,118.00,1.948
23,40.8,0.518,33.00,2.375
6.4,29.7,0.369,118.00,2.094
2.5,35.1,0.176,86.83,1.7
5.7,31.8,0.411,54.67,2.828
32.6,44.9,0.553,64.67,2.131
37.5,35.3,0.650,89.50,1.877
2.5,35.7,0.124,118.00,1.705
18.8,44.7,0.565,15.17,1.885
3,41.1,0.253,87.33,1.525
5.1,33,0.671,79.67,2.729
11.9,32.6,0.634,63.00,2.287
5.3,36.8,0.347,105.17,1.544
7.1,45.4,0.322,59.50,2.572
21.3,32.7,0.322,31.67,1.723
2.5,38.5,0.109,78.00,1.944
4.3,39.5,0.454,79.67,2.057
32.6,54,0.523,2.67,2.135
14.1,30.7,0.478,31.33,2.424
14.7,59.1,0.440,98.17,1.861
6.1,32.8,0.452,20.00,1.974
2.5,28.1,0.043,97.17,1.528
17.2,46.2,0.428,58.00,2.553
2.5,27.6,0.045,92.33,1.496
12.3,31.6,0.538,25.00,2.973
8.8,45.7,0.446,30.00,1.991
6.7,41.5,0.395,56.33,2.066
14.5,42.3,0.430,26.67,2.471
2.5,30.2,0.115,80.00,1.657
2.5,33.5,0.075,48.33,1.247
2.5,35.8,0.276,104.50,1.541
2.5,37.5,0.225,50.67,3.049
35.6,43.7,0.402,53.33,2.049
9.4,40.3,0.533,67.50,1.824
4.6,36.2,0.132,92.00,1.846
26,35.7,0.644,76.50,1.82
6.1,25,0.191,77.17,1.568
2.5,24.6,0.063,91.83,1.369
5.7,63,0.406,32.50,2.317
2.5,34.7,0.070,42.83,1.712
7.6,39.3,0.401,41.83,2.003
2.5,30,0.039,100.50,1.479
2.5,33.1,0.025,85.50,1.366
9.3,34.9,0.359,43.17,2.245
20.7,43.1,0.573,118.00,2.201
5.5,40.3,0.323,118.00,2.078
2.5,32.8,0.296,118.00,2.09
2.5,41.9,0.306,66.00,2.959
3.5,26.6,0.234,76.17,2.927
3.1,26,0.079,118.00,1.752
2.5,35.1,0.118,90.83,1.77
2.5,39.7,0.288,79.67,1.704
2.6,35.3,0.288,118.00,2.158
31.4,44.8,0.479,118.00,2.936
6.4,35.7,0.296,50.17,1.92